Statue,Age
Fired,34
Fired,37
Fired,37
Fired,38
Fired,41
Fired,42
Fired,43
Fired,44
Fired,44
Fired,45
Fired,45
Fired,45
Fired,46
Fired,48
Fired,49
Fired,53
Fired,53
Fired,54
Fired,54
Fired,55
Fired,56
Not_Fired,27
Not_Fired,33
Not_Fired,36
Not_Fired,37
Not_Fired,38
Not_Fired,38
Not_Fired,39
Not_Fired,42
Not_Fired,42
Not_Fired,43
Not_Fired,43
Not_Fired,44
Not_Fired,44
Not_Fired,44
Not_Fired,45
Not_Fired,45
Not_Fired,45
Not_Fired,45
Not_Fired,46
Not_Fired,46
Not_Fired,47
Not_Fired,47
Not_Fired,48
Not_Fired,48
Not_Fired,49
Not_Fired,49
Not_Fired,51
Not_Fired,51
Not_Fired,52
Not_Fired,54
