rannum,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,From: shot_made_flag,Into: shot_made_flag,Predicted Probability: shot_made_flag=0,Predicted Probability: shot_made_flag=1
10,Jump Shot,Jump Shot,10,20000012,33.9723,167,72,-118.1028,10,1,0,01JAN00:00:00:00,27,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,1,14707,69,94.06,1,0,0.65664398,0.34335602
11,Jump Shot,Jump Shot,254,20000012,34.0163,1,28,-118.2688,8,3,0,01JAN00:00:00:00,5,2,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,8,14707,69,94.06,1,0,0.733633278,0.266366722
31,Driving Layup Shot,Layup,100,20000019,34.0443,0,0,-118.2698,0,1,0,01JAN00:00:00:00,1,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,17,15851,69,95.71,1,1,0.198629641,0.801370359
32,Driving Layup Shot,Layup,249,20000019,34.0443,0,0,-118.2698,10,3,0,01JAN00:00:00:00,46,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,20,15851,69,95.71,1,1,0.175513599,0.824486401
45,Jump Shot,Jump Shot,4,20000047,33.9683,163,76,-118.1068,11,1,0,01JAN00:00:00:00,26,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,33,14081,72,95.09,1,0,0.532457865,0.467542135
46,Jump Shot,Jump Shot,8,20000047,33.8503,70,194,-118.1998,10,1,0,01JAN00:00:00:00,58,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,34,14081,72,95.09,1,1,0.474706868,0.525293132
47,Layup Shot,Layup,26,20000047,34.0253,1,19,-118.2688,7,1,0,01JAN00:00:00:00,33,1,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,35,14081,72,95.09,1,0,0.517236637,0.482763363
48,Layup Shot,Layup,37,20000047,34.0293,-12,15,-118.2818,5,1,0,01JAN00:00:00:00,58,1,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,36,14081,72,95.09,1,0,0.507229915,0.492770085
49,Reverse Layup Shot,Layup,53,20000047,34.0403,1,4,-118.2688,4,1,0,01JAN00:00:00:00,9,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,37,14081,72,95.09,1,1,0.276120104,0.723879896
50,Jump Shot,Jump Shot,165,20000047,33.9283,-117,116,-118.3868,5,2,0,01JAN00:00:00:00,33,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,38,14081,72,95.09,1,0,0.549436202,0.450563798
51,Layup Shot,Layup,281,20000047,34.0253,-12,19,-118.2818,4,3,0,01JAN00:00:00:00,29,2,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,45,14081,72,95.09,1,0,0.565786601,0.434213399
52,Jump Shot,Jump Shot,410,20000047,34.0143,-176,30,-118.4458,3,4,0,01JAN00:00:00:00,19,17,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,50,14081,72,95.09,1,0,0.669038753,0.330961247
64,Jump Shot,Jump Shot,60,20000049,33.7973,-141,247,-118.4108,4,1,0,01JAN00:00:00:00,58,28,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,55,16092,70,95.2,1,0,0.609758024,0.390241976
65,Jump Shot,Jump Shot,199,20000049,33.8033,146,241,-118.1238,3,2,0,01JAN00:00:00:00,10,28,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,60,16092,70,95.2,1,0,0.643028548,0.356971452
66,Jump Shot,Jump Shot,397,20000049,33.9533,-10,91,-118.2798,10,4,0,01JAN00:00:00:00,13,9,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,66,16092,70,95.2,1,0,0.62400632,0.37599368
80,Jump Shot,Jump Shot,22,20000058,34.0083,-119,36,-118.3888,9,1,0,01JAN00:00:00:00,6,12,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,67,16025,70,92.22,1,0,0.760644647,0.239355353
